rank,followers,engagement_rate,category,potential_reach,country,channel_name,channel_id
93,608100.0,0.58,unknown,182400.0,ecuador,Dilan Diego a,dilandiego1
94,602900.0,0.58,romance and wedding,180900.0,ecuador,Cristina gallegos,cristinagallegos_
95,600800.0,0.58,fitness and health,180200.0,ecuador,Dr. Marco Gaibor,nutrimarko
96,599200.0,0.58,unknown,179800.0,ecuador,,matiasorbe1 @matiasorbe2.0
97,598600.0,0.58,unknown,179600.0,ecuador,Joncra - x2,joncrisnew
98,597900.0,0.1,unknown,179400.0,ecuador,Ariana Unda,arianaalejandraunda
99,597000.0,0.58,romance and wedding,179100.0,ecuador,🔞 Rosa 🇪🇨,marinafajardo15
100,596300.0,0.58,unknown,178900.0,ecuador,Angela Orellana,angelitamov7
1,167900.0,2.32,fitness & health,50400.0,ecuador,MACHALA THE GREAT,carterefe
2,135900.0,0.57,arts & crafts,40800.0,ecuador,DILO CON DIBUJOS🔹,dilocondibujos
3,91800.0,0.99,news & media,27500.0,ecuador,Diario El Comercio de Ecuador,elcomerciocom
4,79800.0,0.24,unknown,23900.0,ecuador,Kevlex Pazmiño,kevlexd
5,79000.0,0.2,family fashion & accessories,23700.0,ecuador,Mayita arizaga,mayitaarizaga
6,64099.99999999999,0.38,news & politics,19200.0,ecuador,El Universo,eluniversocom
7,63200.0,0.31,entertainment & music,19000.0,ecuador,Johann Vera,johannvera
8,55000.0,0.89,entertainment & music beauty & self care,16500.0,ecuador,Michela PinBu,michelapinbu
9,52900.0,0.34,politics,15900.0,ecuador,Guillermo Lasso,guillermolasso
10,50800.0,0.21,entertainment & music,15200.0,ecuador,En Contacto - Ecuavisa,encontactoecuavisa
11,48600.0,0.48,sports,14600.0,ecuador,Marlon Chito Vera 🇪🇨,chitoveraufc
12,48100.0,0.76,sports,14400.0,ecuador,BarcelonaSC,barcelonasc
13,46800.0,1.23,sports,14000.0,ecuador,FEF🇪🇨,fefecuador
14,46300.0,0.84,fashion & accessories,13900.0,ecuador,Erika Velez,erikavelez
15,40100.0,1.13,funny acting & drama entertainment & music,12000.0,ecuador,𝔸𝕝𝕖𝕩 𝕍𝕚𝕫𝕦𝕖𝕥𝕖 •Actor,alexvizuete
16,38400.0,0.11,entertainment & music,11500.0,ecuador,TC Televisión 📺,tctelevision
17,36200.0,0.47,fashion & accessories,10900.0,ecuador,Evelyn Vanessa Calderón,evelynvcalderon
18,35600.0,0.89,entertainment & music,10700.0,ecuador,Mar Rendón,marrendonmusica
19,32900.0,0.54,fitness & health travel family,9900.0,ecuador,María Teresa Guerrero,flacaguerrerog
20,30700.0,0.23,photography,9200.0,ecuador,Nathalie Carvajal,nathalie_carvajalcampoverde
21,28200.0,0.01,entertainment & music,8400.0,ecuador,Marcelo Freire,marce_freire
22,26400.0,0.15,news,7900.0,ecuador,Teleamazonas,teleamazonasec
23,25200.0,0.36,entertainment & music,7600.0,ecuador,KikeJav,kikejav
24,22800.0,0.77,sports,6800.0,ecuador,Liga Deportiva Universitaria,ldu_oficial
25,21600.0,0.13,outdoor activity travel,6500.0,ecuador,Cotopaxi,cotopaxi
26,20900.0,0.68,funny beauty & self care,6300.0,ecuador,Estefania Saavedra,estefisaavy
27,18600.0,0.58,acting & drama,5600.0,ecuador,Mare,marecevallos
28,17700.0,0.38,food fitness & health,5300.0,ecuador,Jasmine Briones 🇪🇨🇵🇭,sweetsimplevegan
29,15300.0,0.2,sports,4600.0,ecuador,Kristy Alvarado Cabello,sambaalvaradoc
30,15000.0,0.07,acting & drama education health & fitness,4500.0,ecuador,Carlos Jose Matamoros Icaza,carlosjosemi
31,14200.0,0.16,food fun,4200.0,ecuador,Fernanda Robles,lucifer.roble
32,14100.0,0.32,unknown,4200.0,ecuador,Angelique.,angelamarolise
33,14100.0,0.12,fashion & accessories,4200.0,ecuador,Ropa Gallardo,ropagallardo_ec
34,13900.0,1.27,food,4200.0,ecuador,Damián (El Champ),damianbernalf
35,13700.0,0.58,food,4100.0,ecuador,Perdomo Por Mariana,marianaperdomoconfeitaria
36,13500.0,0.4,entertainment & music,4100.0,ecuador,DANIEL BETANCOURTH,danielbeta
37,13300.0,0.36,entertainment & music family,4000.0,ecuador,Giovanna Andrade Franco,giovaandrade7
38,13000.0,0.17,product education,3900.0,ecuador,Chicho Trujillo,chichotrujillo5
39,13000.0,0.11,arts & crafts education influencer marketing,3900.0,ecuador,Sara Medina,saram2401
40,12200.0,0.04,entertainment & music,3600.0,ecuador,Jay Jay,jasminechiquito
41,12000.0,0.1,family health & fitness,3600.0,ecuador,Dra. Andrea Cardozo| Esp en Lactancia Materna/BLW,tipspediatricos
42,11600.0,0.98,entertainment & music funny,3500.0,ecuador,Jorge Berzosa,berzosajorge7
43,11600.0,0.27,beauty & self care fashion & accessories,3500.0,ecuador,Paola Matute,paox33
44,11500.0,0.04,fashion & accessories,3400.0,ecuador,ETAFASHION,etafashion_ec
45,11300.0,0.02,fitness & health product showcase,3400.0,ecuador,Tienda Fitness | Fajas Colombianas & Waist Trainers,tiendafitnessecuador
46,11000.0,0.11,food,3300.0,ecuador,Me Encanta el Chocolate,elchocolatemeencanta
47,10800.0,0.13,beauty & self care product showcase,3200.0,ecuador,DMujeres Beauty Market,dmujeres_beautymarket
48,10800.0,0.52,food,3200.0,ecuador,McDonald's Ecuador,mcdonalds_ecu
49,10500.0,0.58,fitness & health food,3100.0,ecuador,Camila Nicole Auz M,itscamiauz
50,10300.0,0.11,entertainment & music,3100.0,ecuador,FRANCISCO PINOARGOTTI,fcopinoargotti
